"","y.8.comps"
"(Intercept)",12.062
"750",-1.31197337777374
"752",-0.713929843502502
"754",-0.151769870564091
"756",0.130496201766101
"758",0.306957664378205
"760",0.496015000522556
"762",0.679502514606845
"764",0.783423246468262
"766",0.809095759353971
"768",0.798911354586363
"770",0.841731292010243
"772",0.74546943425098
"774",0.547280404261933
"776",0.37937861855864
"778",0.287431357769891
"780",0.29984514864128
"782",0.338265782124199
"784",0.307528927313732
"786",0.286658174741687
"788",0.413170039196275
"790",0.636404218164526
"792",0.660833867751886
"794",0.689158976174498
"796",0.720273618273766
"798",0.752348770355718
"800",0.868083552221321
"802",0.995358385476819
"804",1.01362201876591
"806",1.07933478384321
"808",1.07248497169154
"810",1.14910217637335
"812",1.08368263659569
"814",1.02755998217589
"816",0.897114529177576
"818",0.792920054289189
"820",0.58444808923695
"822",0.297230711025586
"824",-0.0857169642844323
"826",-0.327620136426392
"828",-0.437111221371243
"830",-0.676470808272713
"832",-0.758547617550589
"834",-0.686120216347712
"836",-0.591727531809948
"838",-0.554114692421906
"840",-0.518775674119552
"842",-0.458521875751325
"844",-0.402899392835633
"846",-0.422183128795686
"848",-0.542195652638048
"850",-0.707083644912076
"852",-0.960440765221679
"854",-1.20608318176307
"856",-1.40543499959518
"858",-1.5926569404491
"860",-1.77626227630292
"862",-1.93627982018114
"864",-2.06912992558412
"866",-2.21910562261472
"868",-2.43160776109886
"870",-2.58366127670031
"872",-2.64344119119077
"874",-2.73615720224732
"876",-2.83707628286727
"878",-2.90041558962479
"880",-2.8639385121253
"882",-2.83637467220253
"884",-2.79770444760052
"886",-2.60610505772157
"888",-2.32879158085053
"890",-1.95717020724001
"892",-1.56991312723175
"894",-1.10450911499808
"896",-0.567028646992149
"898",0.0449063694203021
"900",0.638588583768663
"902",1.21087294799385
"904",1.71238208245323
"906",2.0827906296982
"908",2.54389377797764
"910",2.90301542179516
"912",3.11530240051309
"914",3.23294237120957
"916",3.24417869606466
"918",3.16322848687976
"920",2.95841334306517
"922",2.67221338958535
"924",2.29155812169578
"926",2.00524552009057
"928",1.66339372345654
"930",1.40292922742736
"932",1.11082908481075
"934",0.855704159479418
"936",0.606401609099391
"938",0.386565637287987
"940",0.0533759640333613
"942",-0.303469610717051
"944",-0.735559688186487
"946",-1.18857098247264
"948",-1.63380330449963
"950",-2.01258424394634
"952",-2.32519737838475
"954",-2.49627339790033
"956",-2.39195198693687
"958",-2.12482250806919
"960",-1.73198220742447
"962",-1.24961773804768
"964",-0.764208548964679
"966",-0.292814144947691
"968",0.149089632401672
"970",0.530294893834452
"972",0.881506556267166
"974",1.15416776387289
"976",1.37911497416509
"978",1.54729050247446
"980",1.66156092492815
"982",1.58649002733478
"984",1.54217929085995
"986",1.45047595103104
"988",1.32097178054732
"990",1.11489541142816
"992",0.897838913546211
"994",0.675612167676201
"996",0.50937589229253
"998",0.319815786112122
"1000",0.138372296630744
"1002",-0.0563622380542407
"1004",-0.261924131290622
"1006",-0.423690115693364
"1008",-0.558788536097416
"1010",-0.666316006833769
"1012",-0.799018112041026
"1014",-0.883655969717407
"1016",-0.945554352519833
"1018",-0.969748077148909
"1020",-0.933441148062796
"1022",-0.93325018734501
"1024",-0.904885247821075
"1026",-0.838084488085621
"1028",-0.763720716921743
"1030",-0.64698369046905
"1032",-0.501680952581408
"1034",-0.326830539613039
"1036",-0.15395918471385
"1038",-0.00156876367205702
"1040",0.188273663476476
"1042",0.378033590938096
"1044",0.60362096827712
"1046",0.846121559746467
"1048",1.05925126150454
"1050",1.27055024157666
"1052",1.46964493807804
"1054",1.69850849371163
"1056",1.84953294934434
"1058",1.97014154439603
"1060",2.01719069228616
"1062",2.0967390964223
"1064",2.1009171220503
"1066",2.04483078784132
"1068",1.92616250129661
"1070",1.6988712742544
"1072",1.36901144910944
"1074",1.00349958485068
"1076",0.691234649806996
"1078",0.349921110651308
"1080",-0.091973043627979
"1082",-0.504540266841179
"1084",-0.912230871971265
"1086",-1.30855221819543
"1088",-1.6861050946265
"1090",-2.07354877660813
"1092",-2.38911226827265
"1094",-2.6720496032697
"1096",-3.00648354339041
"1098",-3.53843102526623
