"","Xrange","Preprocessing","N","ncomp","R.cal","R.val","SEC","SECV","Bias.val","RPD.val"
"1","750-1098","SNV + SG2D(wsize-11pt_forder-2) + Auto-scaling",50,9,0.966421985054843,0.905035263937143,0.263751344366658,0.44622846032741,0.0254613469998864,2.32358470204282
"2","750-1098","Raw + SG2D(wsize-11pt_forder-2) + Auto-scaling",50,3,0.924521779766142,0.900807717875489,0.391201987956785,0.450376901070925,0.00979152210844639,2.30218206477158
"3","750-1098","SNV + SG1D(wsize-11pt_forder-2) + Auto-scaling",50,4,0.921498017552284,0.896189885152829,0.398647545911098,0.460255687476175,0.00726196499655135,2.25276873756517
"4","750-1098","Raw + SG2D(wsize-11pt_forder-2)",50,5,0.929636362058112,0.8889542116721,0.378216692314919,0.476676009269343,0.0208366879989059,2.17516636849878
"5","750-1098","SNV",50,6,0.919939669067458,0.886863375389973,0.402421609601945,0.479765714766515,0.00766255564542433,2.16115823227903
"6","750-1098","SNV + SGSM(wsize-11pt_forder-2)",50,6,0.91986907378531,0.886799282053735,0.402591591619258,0.479899769626261,0.00771671549630067,2.16055453587813
"7","750-1098","Raw + SG1D(wsize-11pt_forder-2) + Auto-scaling",50,9,0.937260732684629,0.886260874206771,0.35784303738105,0.484415443287133,0.0325485532530386,2.14041405657314
"8","750-1098","SNV + Auto-scaling",50,4,0.91545258881305,0.884027013016076,0.413061457262972,0.485146837293157,0.00679124646665748,2.13718722731023
"9","750-1098","SNV + SGSM(wsize-11pt_forder-2) + Auto-scaling",50,4,0.915417509187264,0.883959610985529,0.413143356977344,0.485276341650017,0.00668617174535637,2.13661688205824
"10","750-1098","SNV + SG1D(wsize-11pt_forder-2)",50,5,0.922525075001831,0.882990181888101,0.396136993416041,0.487837416399387,0.0118780022761317,2.12539995739899
"11","750-1098","SNV + SG2D(wsize-11pt_forder-2)",50,4,0.918535989143578,0.881713097598349,0.405785647282344,0.490176168951662,0.00817529785825336,2.11525914499351
"12","750-1098","Raw + SG1D(wsize-11pt_forder-2)",50,6,0.921176373446154,0.878382035506554,0.399429960162381,0.497491113720253,0.00728322326930229,2.08415707424259
"13","750-1098","Raw + Auto-scaling",50,8,0.91973012930736,0.874718115592842,0.402925899914901,0.503959900202029,0.00578626386811269,2.05740501102813
"14","750-1098","Raw + SGSM(wsize-11pt_forder-2) + Auto-scaling",50,8,0.919668936126299,0.874717688901883,0.403073030225239,0.503953264780127,0.0057435213496808,2.05743210034617
"15","750-1098","Raw",50,8,0.919382374259504,0.874524175519895,0.403761184104482,0.504321130148963,0.00510846548547619,2.05593135414856
"16","750-1098","Raw + SGSM(wsize-11pt_forder-2)",50,8,0.919328636110778,0.874508807534922,0.403890077280961,0.504344303094044,0.0050750405932742,2.05583689093352
"17","1100-2498","SNV + SG2D(wsize-11pt_forder-2) + Auto-scaling",50,4,0.926408592541869,0.857306436373257,0.386470696852103,0.533958726910583,0.00660186032073586,1.94181604640487
"18","1100-2498","Raw + SG2D(wsize-11pt_forder-2) + Auto-scaling",50,4,0.922542910257078,0.851692207833415,0.396093231339669,0.543558457508951,0.0150482598569297,1.9075218308342
"19","1100-2498","Raw + SG1D(wsize-11pt_forder-2)",50,6,0.900112173908488,0.84088391296975,0.44717211457483,0.562344239859052,0.00642428947606589,1.84379878113941
"20","1100-2498","SNV + SG1D(wsize-11pt_forder-2)",50,6,0.897958843716997,0.83176292824605,0.451710195764565,0.579581577610362,0.0184061762317114,1.78896235506287
"21","1100-2498","Raw",50,7,0.890375165968601,0.827283114040672,0.467258583909031,0.585616021708906,0.0154707290532445,1.77052810305159
"22","1100-2498","Raw + SGSM(wsize-11pt_forder-2)",50,7,0.890306341424957,0.82727769604677,0.467396729088393,0.585624944334273,0.0154762000145981,1.77050112715325
"23","1100-2498","Raw + Auto-scaling",50,7,0.890866759905799,0.826656846808046,0.466270351100436,0.587023182783812,0.0189679789035578,1.76628394659967
"24","1100-2498","Raw + SGSM(wsize-11pt_forder-2) + Auto-scaling",50,7,0.890789532490674,0.82665019047645,0.466425773237939,0.587034015785748,0.0189751974734026,1.76625135196818
"25","1100-2498","SNV + SG1D(wsize-11pt_forder-2) + Auto-scaling",50,4,0.877209553097165,0.826316191406747,0.492796347432757,0.587499448879492,-0.00330960016644216,1.76485207945372
"26","1100-2498","SNV + Auto-scaling",50,7,0.899448080381359,0.822391306256888,0.448577730028015,0.595800859488915,-0.0107415524887163,1.74026204816541
"27","1100-2498","SNV + SGSM(wsize-11pt_forder-2) + Auto-scaling",50,7,0.898866457829015,0.822050865720129,0.449804331400861,0.59632514856392,-0.0106444336118937,1.73873200975985
"28","1100-2498","SNV",50,7,0.880433445216402,0.814679266981513,0.486701465130956,0.60498754587672,-0.00883555434813573,1.71383631134147
"29","1100-2498","SNV + SGSM(wsize-11pt_forder-2)",50,7,0.880285248082733,0.814550680627435,0.486983802786846,0.605203301801292,-0.00861884549503632,1.71322532601337
"30","1100-2498","Raw + SG1D(wsize-11pt_forder-2) + Auto-scaling",50,3,0.868934126072086,0.812264435126225,0.508008083957095,0.605447703176889,-0.00282022501465036,1.71253374749356
"31","1100-2498","SNV + SG2D(wsize-11pt_forder-2)",50,5,0.889882720221275,0.800759819093837,0.468245892837003,0.621115378468251,-0.0190375989392193,1.66933497378521
"32","1100-2498","Raw + SG2D(wsize-11pt_forder-2)",50,6,0.902961209827561,0.798980898499257,0.441079086933961,0.623566449933126,0.00765350614728547,1.66277326842085
